"subject" "activity" "meantBodyAccX" "stdtBodyAccX" "meantBodyAccY" "stdtBodyAccY" "meantBodyAccZ" "stdtBodyAccZ" "meantGravityAccX" "stdtGravityAccX" "meantGravityAccY" "stdtGravityAccY" "meantGravityAccZ" "stdtGravityAccZ" "meantBodyAccJerkX" "stdtBodyAccJerkX" "meantBodyAccJerkY" "stdtBodyAccJerkY" "meantBodyAccJerkZ" "stdtBodyAccJerkZ" "meantBodyGyroX" "stdtBodyGyroX" "meantBodyGyroY" "stdtBodyGyroY" "meantBodyGyroZ" "stdtBodyGyroZ" "meantBodyGyroJerkX" "stdtBodyGyroJerkX" "meantBodyGyroJerkY" "stdtBodyGyroJerkY" "meantBodyGyroJerkZ" "stdtBodyGyroJerkZ" "meantBodyAccMag" "stdtBodyAccMag" "meantGravityAccMag" "stdtGravityAccMag" "meantBodyAccJerkMag" "stdtBodyAccJerkMag" "meantBodyGyroMag" "stdtBodyGyroMag" "meantBodyGyroJerkMag" "stdtBodyGyroJerkMag" "meanfBodyAccX" "stdfBodyAccX" "meanfBodyAccY" "stdfBodyAccY" "meanfBodyAccZ" "stdfBodyAccZ" "meanfBodyAccJerkX" "stdfBodyAccJerkX" "meanfBodyAccJerkY" "stdfBodyAccJerkY" "meanfBodyAccJerkZ" "stdfBodyAccJerkZ" "meanfBodyGyroX" "stdfBodyGyroX" "meanfBodyGyroY" "stdfBodyGyroY" "meanfBodyGyroZ" "stdfBodyGyroZ" "meanfBodyAccMag" "stdfBodyAccMag" "meanfBodyAccJerkMag" "stdfBodyAccJerkMag" "meanfBodyGyroMag" "stdfBodyGyroMag" "meanfBodyGyroJerkMag" "stdfBodyGyroJerkMag"
"1" "1" "laying" 0.22159824394 -0.0405139534294 -0.948096523348 -0.9051667964 -0.121908135732 0.09054431328 0.4693929762 -0.236157682494 0.6401484404 -0.385390085586 -0.9548551108 -0.963631469 -0.5648897936 -0.603353620074 -0.022012200614 -0.016553093978 -0.9643197236 -0.9943597816 0.0599717015 -0.08777095906 -0.9675340198 -0.9431306684 0.19652560844 0.137709403596 -0.9473611532 -0.8419291525 -0.31317500346 0.03545197294 -0.0789909273 -0.874759548 -0.9338483356 -0.983709768 -0.8562608991 -0.851919211 -0.64409616216 -0.7638709682 -0.9962045102 -0.9968518598 -0.98447231 -0.9263861344 -0.9925845862 -0.9815052856 -0.967274797 -0.9705455 0.02438794528 -0.5066257548 -0.996897003 -0.9977340718 -0.9846370168 -0.9795454404 -0.909302721 -0.8822964508 -0.9110111635822 -0.9569886196 -0.370745221402 -0.968166132 -0.9977716264 -0.9985127192 -0.9965645444 -0.9922057156 -0.64360690412 -0.733793103 -0.6737157919 -0.8621901854 -0.9377540314 -0.9730977224
"2" "1" "sitting" 0.261237565425532 -0.00130828765170213 -0.989863580425532 -0.986834701276596 -0.117149009078511 0.0850768219944681 0.331910236382979 0.843385717021277 0.568020149361702 -0.461273986389362 -0.987910804468085 -0.987729817234043 -0.740437859531915 -0.767841575361702 0.0165644228659574 -0.045350056512766 -0.996756636808511 -0.993674270212766 0.119401068053191 -0.153313998414894 -0.989509710212766 -0.98411784 0.379719430468085 0.158765734893617 -0.985275725957447 -0.948536786170213 -0.565797892148936 0.145847348340426 -0.0603137314042553 -0.93089249 -0.9894196 -0.992903535106383 -0.943206732553192 -0.951707238510638 -0.82123387087234 -0.795470143914894 -0.999215639361702 -0.999117356382979 -0.99189924 -0.983731120425532 -0.998555570212766 -0.99433225893617 -0.989653424468085 -0.985007124893617 0.0923920032553192 -0.409705094787234 -0.999486133191489 -0.999667115106383 -0.999539361702128 -0.997747228723404 -0.951315544468085 -0.977904227021277 -0.987099475744681 -0.987508985744681 -0.216252780310638 -0.998047482340426 -0.999799265744681 -0.999922814255319 -0.998835142553192 -0.997666985106383 -0.836380754702128 -0.826852531297872 -0.750599066382979 -0.958435589361702 -0.986101085531915 -0.992225690851064
"3" "1" "standing" 0.278917629056604 -0.0161375901037736 -0.999302946415094 -0.998956617924528 -0.127876725803774 0.116846825947736 0.00970054607320755 0.961168260943396 0.446657694849057 -0.393991998803774 -0.992251177358491 -0.994776982075472 -0.81797034 -0.751864896415094 0.0744326620490566 -0.0239877347979245 -0.999784393396226 -0.999293653584906 0.210810091115283 -0.215668894415094 -0.994906439811321 -0.989576411509434 0.199347046685283 0.167140849451132 -0.993111619622641 -0.984278207358491 -0.663020115056604 0.199252568566038 -0.128163099171698 -0.976493792830189 -0.994211750566038 -0.991342545471698 -0.978165207924528 -0.98321947754717 -0.875798401320755 -0.707851490849057 -0.999911836603774 -0.999913810754717 -0.999424353207547 -0.99864807 -0.999736542075472 -0.99950443 -0.991093494339623 -0.985854584150943 0.138581478749057 -0.517748493773585 -0.999912806415094 -0.999921938490566 -0.999719128301887 -0.999812813773585 -0.980773122830189 -0.987497128679245 -0.991450380377358 -0.993415117358491 -0.622482914037736 -0.999842860188679 -0.999985711698113 -0.999974497358491 -0.999739805660377 -0.999466045849057 -0.915000873207547 -0.768379960943396 -0.832748299811321 -0.984617623396226 -0.994901193396226 -0.993849913962264
"4" "1" "walking" 0.277330758736842 -0.0173838185273684 -0.758210962947368 -0.747708346105263 0.167263728694316 0.00262120183757895 -0.0628860656842105 0.947006739157895 0.542635273052632 0.0308226031347368 -0.502699788526316 -0.102204922170526 0.670169203894737 0.635408725263158 0.490554924315789 -0.041830963526 -0.863176635684211 -0.554350900526316 -0.193560919805263 0.222654143863158 -0.428567488736842 -0.409432594 0.295518946016947 0.251467955758947 -0.723198333789474 -0.136971176556842 0.831332321368421 0.0888187274757895 0.204177664192316 -0.160979552536842 -0.331267768884211 -0.531885493105263 0.0946508048568421 -0.2889014748 0.439469357578947 -0.742614598315789 -0.836738317789474 -0.823081646736842 -0.837466570105263 -0.400159856631579 -0.92302911 -0.876084370631579 -0.650638141684211 -0.783336130631579 -0.185530281244211 -0.144657862897789 -0.813673812105263 -0.843559068315789 -0.725683527894737 -0.873926609473684 -0.255940940315789 -0.516691938736842 -0.336360720178947 -0.243421509210526 -0.715614123684211 -0.952108524105263 -0.807090448526316 -0.846545287684211 -0.901739817578947 -0.893549387789474 0.544165924947368 -0.744464609368421 -0.47802531782 -0.199252568986316 -0.393752784747368 -0.593162934378947
"5" "1" "walking_downstairs" 0.289188320408163 -0.00991850461020408 -0.81285224755102 -0.724291495306122 0.0877777831326531 0.0291598331140816 -0.0464827635716327 0.935563321428571 0.745318365102041 -0.210337386122449 -0.345735032326531 -0.00216842288163265 0.600660183673469 0.596007594489796 0.116034018020408 -0.0350781902989796 -0.790336525306122 -0.608174815918367 -0.255677829183673 0.265425537959184 -0.390362072365306 -0.226432215061224 0.172044883126531 0.202379802653061 -0.686448479795918 0.0271882914106122 0.867183418571429 -0.12089367574898 0.110971354244898 -0.0757412543673469 -0.281520139204082 -0.446797332367347 -0.0065241663877551 -0.262405445789796 0.559315348367347 -0.776168528571429 -0.698254563889796 -0.664148999836735 -0.904195510612245 -0.548012794081633 -0.823551115918367 -0.806514703285714 -0.736660075081633 -0.67180563122449 0.00937223889183673 -0.313684237301224 -0.702467576734694 -0.825625750204082 -0.717049541836735 -0.904590787142857 -0.0318694271979592 -0.495422486102041 -0.365490822544898 -0.158696936885714 -0.630268387959184 -0.85766973877551 -0.83404579 -0.751657050612245 -0.863632734489796 -0.871072132244898 0.652818079591837 -0.567909921428571 -0.539384710693878 -0.185720285744898 -0.51162451877551 -0.52940315255102
"6" "1" "walking_upstairs" 0.255461689622641 -0.0239531492643396 -0.804660188867925 -0.565893159811321 0.307595388783019 -0.168581579377358 -0.0611896648566038 0.89811253754717 0.770799058113208 -0.496928408830189 -0.706593530943396 -0.428955456603774 0.579112726603774 0.553275942830189 0.312909699716981 0.050549379754717 -0.834376080377358 -0.487343305283019 -0.293335752867925 0.266710413509434 -0.673591962075472 -0.603776643207547 0.176559587292075 0.204362989266038 -0.766684412830189 -0.129927630735849 0.803649543207547 -0.339098301509434 0.022801332645283 -0.126735589969811 -0.657827676603774 -0.60388198754717 -0.130576928407547 -0.263666692396226 0.245590203773585 -0.80645161 -0.932339909622642 -0.923573336415094 -0.92064595509434 -0.464753602264151 -0.976506720943396 -0.966648728490566 -0.821401507924528 -0.872430624716981 -0.551104284150943 -0.2262545659 -0.929559813396226 -0.952473396037736 -0.895807454150943 -0.808402385660377 -0.453597213018868 -0.565892490754717 -0.547510032641509 -0.501566639811321 -0.780147550754717 -0.894028115283019 -0.933665421509434 -0.96880849 -0.964832021132075 -0.959389353018868 0.408554099622641 -0.780091088301887 -0.686853361509434 -0.325961457396226 -0.745710533018868 -0.782205106981132
"7" "2" "laying" 0.281373403958333 -0.0181587397583333 -0.999637563333333 -0.999349610625 -0.159101984522917 0.176129899039583 0.636297803333333 -0.469052540208333 0.607971194166667 -0.208670150229167 -0.988442014375 -0.98729154125 -0.691913999791667 -0.731370267083333 0.00766428163541667 -0.01847660675 -0.998926053125 -0.998360079583333 0.191900884754167 -0.158430441270833 -0.988617580208333 -0.98385865625 0.223318339583333 0.137571376783333 -0.9916941025 -0.977435485208333 -0.5971313943125 0.229652255146458 -0.05547647891875 -0.950011569583333 -0.988811917291667 -0.990101760833333 -0.982106668125 -0.98495954125 -0.86483757 -0.846774193854167 -0.999212485833333 -0.998967466458333 -0.999734252291667 -0.999164711875 -0.999598569166667 -0.998745637708333 -0.989875808541667 -0.982268885 0.190558218145833 -0.501103660833333 -0.999756119791667 -0.999785589166667 -0.999494538541667 -0.999670539791667 -0.9626718875 -0.988860685833333 -0.9911565 -0.986137695833333 -0.236468275895833 -0.999736503958333 -0.999918063333333 -0.999842083125 -0.999114853541667 -0.997978501875 -0.879616277916667 -0.824712643125 -0.816016455645833 -0.972112972708333 -0.991086032291667 -0.992251989583333
"8" "2" "sitting" 0.27708735173913 -0.0156879937282609 -0.996521418913043 -0.994052473478261 -0.100798853813043 0.0377418439130435 0.201170706086957 0.950714034347826 0.492596717826087 -0.500520531726087 -0.98751821173913 -0.989188836521739 -0.718658946956522 -0.661412699782609 0.0525305806521739 -0.0454706620434783 -0.997930291086957 -0.998982567608696 0.0885660493173913 -0.0950178914065217 -0.990555503913043 -0.980723688043478 0.321867508895652 0.18423333736087 -0.990243419782609 -0.967893623913043 -0.498661353091304 0.108494865458696 -0.0502937812608696 -0.946035087173913 -0.989208586521739 -0.988705347608696 -0.960187379347826 -0.96636502673913 -0.775925114130435 -0.667601682891304 -0.999368092608696 -0.999390558043478 -0.996005094347826 -0.994042474565217 -0.999118715 -0.996685089347826 -0.983373535652174 -0.982103242608696 0.0929030630369565 -0.496940595869565 -0.999663234782609 -0.999769564347826 -0.999389953043478 -0.99959950673913 -0.959814822391304 -0.986808501521739 -0.986268040217391 -0.987966399130435 -0.516717094565217 -0.999749203695652 -0.999949786956522 -0.999933208913043 -0.999010552608696 -0.997935397391304 -0.819453163695652 -0.850074963 -0.837046969130435 -0.971840596086956 -0.990734229782609 -0.990826929782609
"9" "2" "standing" 0.277911472222222 -0.0184208270166667 -0.998935624814815 -0.99460706537037 -0.119120139333333 0.128329918990741 0.129645950037037 0.913570337222222 0.423298317981481 -0.434275034388889 -0.982841446481482 -0.98303888537037 -0.660948148812963 -0.626168469333333 0.181180902851852 -0.0238623875712963 -0.99864504962963 -0.998734318888889 0.057106054087037 -0.101726649848148 -0.982602242777778 -0.955146055740741 0.141292793592593 0.119488078914815 -0.98811815037037 -0.965875181296296 -0.454446325666667 0.0593805881314815 -0.0959065275 -0.963466341851852 -0.975205555740741 -0.984663441111111 -0.961255842592593 -0.957707751111111 -0.720911687222222 -0.714456391740741 -0.999203538888889 -0.999253816481481 -0.999172186111111 -0.997904273148148 -0.998994914444444 -0.997212761666667 -0.985272963703704 -0.984132331296296 0.0396498183462963 -0.461714988203704 -0.999068951296296 -0.999407442777778 -0.998909562037037 -0.999234345925926 -0.960627696111111 -0.97498812462963 -0.975347728888889 -0.977885052777778 -0.612951667537037 -0.999175508148148 -0.999810602962963 -0.999628608333333 -0.998683525 -0.999062318518519 -0.800409075185185 -0.88761174962963 -0.737165942018518 -0.961775904814815 -0.979384431296296 -0.983015609074074
"10" "2" "walking" 0.276426586440678 -0.0185949199145763 -0.83328023440678 -0.846830008644068 0.212181968852542 -0.0552753238779661 0.0819139581016949 0.924184268983051 0.590435445423729 0.0620890544576271 -0.586090418983051 -0.271097579237288 0.640792575423729 0.626545130677966 0.224548708762712 -0.0530258157347458 -0.904770655932203 -0.891455958135593 -0.216054896237288 0.347808822254237 -0.652497278644068 -0.470018732372881 0.197450664271186 -0.0954595207311864 -0.682499111525424 -0.290407593728814 0.730500253220339 0.228528878122034 0.376830517220339 -0.446549092881356 -0.590580568305085 -0.668476626779661 -0.0672355597949153 -0.418065093559322 0.373587901186441 -0.759431379830508 -0.863614846440678 -0.842668190508475 -0.871577805305085 -0.656667921016949 -0.94465279779661 -0.930060082033898 -0.651805957457627 -0.784992080169492 -0.254846438755932 -0.240484477384407 -0.842339895254237 -0.879430917457627 -0.58610356 -0.892376623559322 -0.396659907457627 -0.604053019152542 -0.381368661610169 -0.609887510677966 -0.735785459322034 -0.933872651186441 -0.950924448983051 -0.940017145084746 -0.941053190338983 -0.904226538983051 0.408264795762712 -0.590882524237288 -0.368754340508475 -0.530704814745763 -0.565357674745763 -0.798064586440678
